asset,delta_mc,delta_mc_standard_error,z0_bsde_mean,delta_bsde_mean,delta_bsde_sd,delta_bsde_sem,difference_bsde_minus_mc
1,0.009934032352514333,2.1444775896968077e-06,0.20802549521128336,0.01040127476056417,0.00027919623777667574,0.0001611940230370945,0.00046724240804983663
2,0.009937398074206794,2.1448999411469023e-06,0.18569094936052957,0.009284547468026478,0.001212901908144545,0.0007002692431678638,-0.000652850606180316
3,0.009932707941213703,2.142670728495997e-06,0.1749193618694941,0.008745968093474705,0.0005591795442540042,0.0003228424604003816,-0.001186739847738998
4,0.009937831730089997,2.1458240444268045e-06,0.19793675343195596,0.009896837671597799,0.0006096909555222459,0.00035200523729324887,-4.099405849219799e-05
5,0.009937265085993907,2.147804869602038e-06,0.20170465111732483,0.010085232555866241,0.0011107264788438223,0.000641278231556526,0.00014796746987233433
6,0.009937534125234126,2.1484874155577018e-06,0.19606295228004456,0.009803147614002227,0.0011625828882515347,0.0006712175434872762,-0.00013438651123189906
7,0.009933091810773842,2.1433236156948894e-06,0.1996543308099111,0.009982716540495554,0.0009375005460338425,0.0005412661926180602,4.9624729721711724e-05
8,0.009933577814766004,2.1437495570500355e-06,0.21031275888284048,0.010515637944142023,0.0002813648185000543,0.00016244605370149655,0.0005820601293760191
9,0.009932788470078613,2.1453801983299437e-06,0.19419308503468832,0.009709654251734416,0.000527631537488756,0.0003046282102020694,-0.00022313421834419672
10,0.009937600269311009,2.147259992538289e-06,0.19331680238246918,0.009665840119123458,0.0012549823380646433,0.0007245643907098477,-0.000271760150187551
11,0.009932766694514594,2.1462459403765003e-06,0.21427403887112936,0.010713701943556468,0.0005887062700465065,0.00033988972348497105,0.0007809352490418739
12,0.00992909739631509,2.143166275098936e-06,0.17995723088582358,0.00899786154429118,0.00044888520974654603,0.00025916399668240997,-0.0009312358520239105
13,0.009930599963264175,2.1457938193037286e-06,0.1986803412437439,0.009934017062187194,0.0014879172073519944,0.0008590494001965502,3.417098923019432e-06
14,0.009936997396364333,2.1452752556232068e-06,0.20500081280867258,0.01025004064043363,0.0007415101367184775,0.0004281110770412492,0.0003130432440692967
15,0.009933990164528339,2.1455341700630054e-06,0.20822176337242126,0.010411088168621062,0.000660500906475204,0.00038134037615345087,0.00047709800409272314
16,0.00993329925864872,2.1474860401700816e-06,0.19855105380217233,0.009927552690108617,0.0011904197215555515,0.000687289146688737,-5.746568540103067e-06
17,0.009934818432491443,2.1454660772447507e-06,0.2099161446094513,0.010495807230472566,0.0010443424618445498,0.0006029514014721073,0.0005609887979811223
18,0.009938785509002734,2.1462420928903596e-06,0.21992514530817667,0.010996257265408834,0.0007857553127596456,0.00045365604133896,0.0010574717564061
19,0.009936236803046672,2.1463998621932235e-06,0.1892219086488088,0.00946109543244044,0.0007615420344833817,0.0004396764986081957,-0.00047514137060623157
20,0.009937567079261633,2.147468113006371e-06,0.1872069090604782,0.009360345453023911,0.0014014949753312867,0.0008091535012754264,-0.0005772216262377224
21,0.009936026326846203,2.1433438083879084e-06,0.18267072240511575,0.009133536120255789,0.0009632603425378633,0.0005561386180639265,-0.0008024902065904144
22,0.00993509637869705,2.146648295807377e-06,0.18353264033794403,0.009176632016897201,0.0013585180943767742,0.000784340787487408,-0.0007584643617998491
23,0.009934751254478513,2.144683837073292e-06,0.22284149130185446,0.011142074565092724,0.0013011875466944066,0.0007512409803502045,0.0012073233106142112
24,0.009933997121164051,2.145906329483698e-06,0.203420490026474,0.0101710245013237,0.0009743100052443361,0.0005625181438019632,0.00023702738015964932
25,0.009933465174006617,2.1453285743844332e-06,0.18326239784558615,0.009163119892279305,0.0007153794742297229,0.0004130245320192635,-0.000770345281727312
26,0.009936577867497132,2.145318215419033e-06,0.20042282342910767,0.010021141171455384,0.0008350629727507374,0.00048212383210792737,8.456330395825197e-05
27,0.00993498909363666,2.1463455660175078e-06,0.2104019671678543,0.010520098358392715,0.0011963994529195505,0.0006907415462014235,0.0005851092647560559
28,0.009933396143200213,2.1457842994568897e-06,0.190640389919281,0.009532019495964049,0.0009815966661976046,0.0005667250994648263,-0.00040137664723616413
29,0.009936183494355433,2.143027360515751e-06,0.21841385463873544,0.010920692731936773,0.0009844852873457331,0.0005683928456622851,0.0009845092375813397
30,0.009935235716398871,2.143797405520535e-06,0.19944305221239725,0.009972152610619863,0.0008129913113710386,0.00046938075246889604,3.691689422099208e-05
31,0.009933264600223257,2.145407582204366e-06,0.21281213561693826,0.010640606780846914,0.0010313454273252595,0.0005954475600937283,0.0007073421806236563
32,0.009934430889124712,2.1444445570191327e-06,0.1779596507549286,0.00889798253774643,0.0008533611523021683,0.0004926882909976262,-0.001036448351378283
33,0.009934759101741797,2.1448227983396946e-06,0.21207086245218912,0.010603543122609457,0.0002015967622665276,0.00011639194496233671,0.0006687840208676604
34,0.009934371526358898,2.146005225088052e-06,0.1832623432079951,0.009163117160399754,0.0004733211895760317,0.0002732721162148758,-0.0007712543659591439
35,0.009932966189273529,2.1454093019113935e-06,0.1978427618741989,0.009892138093709946,0.0010174607175197654,0.0005874312191499064,-4.0828095563582786e-05
36,0.009935157450366106,2.146034900312366e-06,0.2072573552529017,0.010362867762645086,0.0013704621813437283,0.0007912367093130033,0.00042771031227898
37,0.009936542706271645,2.144304567574585e-06,0.19508851071198782,0.00975442553559939,0.0008339586103106118,0.00048148622815583796,-0.00018211717067225484
38,0.009937010317387251,2.147233688333605e-06,0.19271582861741385,0.009635791430870691,0.0003645685485052438,0.00021048374961757366,-0.0003012188865165605
39,0.00993739358971224,2.1470290315506793e-06,0.19047499199708304,0.009523749599854152,0.0009830340179548332,0.0005675549548887824,-0.00041364398985808785
40,0.009936684097861193,2.1440623113774647e-06,0.20047272245089212,0.010023636122544607,0.0018170784277652173,0.0010490907194089102,8.695202468341455e-05
41,0.009933774895873437,2.145879060352209e-06,0.196847269932429,0.00984236349662145,0.0007907715146621911,0.00045655214685770415,-9.141139925198695e-05
42,0.009934222913291268,2.1454829013470444e-06,0.17818075915177664,0.008909037957588831,0.0006356163420322141,0.00036697326617362403,-0.0010251849557024375
43,0.009935625657625735,2.148855907700948e-06,0.20195859173933664,0.010097929586966833,0.0009827394575133565,0.0005673848903386032,0.00016230392934109793
44,0.009935748465772942,2.147648292558698e-06,0.19779560466607413,0.009889780233303705,0.0014146309716044027,0.0008167375722597837,-4.5968232469236966e-05
45,0.00993428463463264,2.146260142668746e-06,0.20271673301855722,0.01013583665092786,0.0004137874454656327,0.00023890029302687062,0.00020155201629522106
46,0.009934749416113497,2.1444264531838086e-06,0.2060923526684443,0.010304617633422214,0.0007045939068591702,0.00040679748179451203,0.0003698682173087168
47,0.009934362007078423,2.146969846939165e-06,0.18509789804617563,0.009254894902308781,0.0007990202063132021,0.0004613145312028776,-0.0006794671047696422
48,0.009936873428106896,2.147099378080883e-06,0.1986922025680542,0.00993461012840271,0.000970966449637432,0.0005605877410722666,-2.2632997041856923e-06
49,0.009938357457767388,2.1478633116552035e-06,0.20202427605787912,0.010101213802893957,0.000423585044212367,0.00024455693930070964,0.0001628563451265691
50,0.009938906707827933,2.1456644760691297e-06,0.20940139889717102,0.010470069944858551,0.0006680253830796293,0.00038568463474652684,0.0005311632370306185
51,0.009933400840223872,2.1440203375762197e-06,0.20895467698574066,0.010447733849287032,0.0005644375907407748,0.00032587819495493017,0.0005143330090631604
52,0.009936321661669467,2.146194433371057e-06,0.20655069251855215,0.010327534625927606,0.0004632490547821949,0.00026745696648033994,0.00039121296425813877
53,0.009933272420165729,2.143867441052842e-06,0.20448887844880423,0.010224443922440212,0.0011499320383687205,0.0006639135719019559,0.00029117150227448395
54,0.00993345999273254,2.1465759820113454e-06,0.2045288383960724,0.01022644191980362,0.002088784530674036,0.001205960311063781,0.0002929819270710791
55,0.009932182284241975,2.1438925818807436e-06,0.1919083446264267,0.009595417231321334,0.0015804843277870946,0.0009124930520978639,-0.0003367650529206411
56,0.009937153464474324,2.1473337495628785e-06,0.20730070769786835,0.010365035384893417,0.00057348615992658,0.0003311023888101358,0.0004278819204190931
57,0.009935110320468787,2.1481305399476073e-06,0.19599356750647226,0.009799678375323613,0.0005012963501289094,0.00028942358269070273,-0.00013543194514517402
58,0.009934527676974891,2.144816822490626e-06,0.21630570789178213,0.010815285394589105,0.0005153441280026506,0.0002975340710276233,0.000880757717614214
59,0.009935099203237652,2.146089167598206e-06,0.20157521466414133,0.010078760733207067,0.0003711565322268963,0.0002142873237926866,0.00014366152996941536
60,0.009932615796463207,2.1429317031042797e-06,0.20889796813329062,0.01044489840666453,0.0005120984235232804,0.0002956601626727489,0.0005122826102013228
61,0.009933492167603752,2.1466258286281347e-06,0.19900240004062653,0.009950120002031326,0.0009121426217151616,0.0005266257881865796,1.6627834427573873e-05
62,0.009938856720428824,2.1455956247498724e-06,0.21593441565831503,0.01079672078291575,0.0009152418752779797,0.0005284151430653594,0.0008578640624869269
63,0.00993474147200013,2.145830937171154e-06,0.19085786739985147,0.009542893369992575,0.0010363602754460677,0.0005983428840062219,-0.0003918481020075554
64,0.009934262626845936,2.1439248027896654e-06,0.1910276710987091,0.009551383554935457,0.0015840620111811376,0.0009145586285684898,-0.00038287907191047847
65,0.009935306694994761,2.1470817389775757e-06,0.20371984938780466,0.010185992469390233,0.00013040853715347292,7.529140403018291e-05,0.00025068577439547185
66,0.0099372185759532,2.146174713317048e-06,0.20187653104464212,0.010093826552232106,0.0012486750016564773,0.0007209228483367236,0.00015660797627890626
67,0.009937320460912336,2.1478227781043907e-06,0.2134455442428589,0.010672277212142945,0.0005253566053690441,0.0003033147775303656,0.0007349567512306091
68,0.009934881162685816,2.1434546955246213e-06,0.1997069368759791,0.009985346843798955,0.00017448069971427493,0.0001007364789484309,5.0465681113139385e-05
69,0.009933764444563398,2.1439959649788977e-06,0.19144974648952484,0.009572487324476242,0.001000661190460231,0.0005777320076798258,-0.0003612771200871556
70,0.0099360240514903,2.1457206044608476e-06,0.19666477044423422,0.00983323852221171,0.0007546327858646057,0.00043568744205824735,-0.00010278552927858904
71,0.009935672709702636,2.146572243334143e-06,0.19308420022328696,0.009654210011164349,0.00026639476265892097,0.0001538030879318345,-0.00028146269853828766
72,0.009936158347353174,2.1483732348932015e-06,0.18171745538711548,0.009085872769355774,0.0012103376428876387,0.0006987887639315154,-0.0008502855779974009
73,0.009937416090481044,2.1466326740471514e-06,0.1910249392191569,0.009551246960957846,8.10818843262429e-05,4.681264774215844e-05,-0.00038616912952319817
74,0.009935591010067135,2.146595869236631e-06,0.18227633833885193,0.009113816916942597,0.0007392373123124824,0.0004267988612586272,-0.0008217740931245384
75,0.009933582074983072,2.1466593708555887e-06,0.20051086942354837,0.01002554347117742,0.0002936866203282959,0.00016956004930393308,9.196139619434794e-05
